prize_id,prize_alias,prize_name,prize_institution,prize_year,prize_genre,person_id,person_role,last_name,first_name,name,gender,sexuality,uk_residence,ethnicity_macro,ethnicity,highest_degree,degree_institution,degree_field_category,degree_field,viaf,book_id,book_title
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2011,Fiction,232,shortlisted,Donoghue,Emma,"Donoghue, Emma",woman,queer,False,Irish,Irish Canadian,Doctorate,University of Cambridge,Language and Literature,English Literature,39539889,74,Room
6,Costa Poetry Award,Costa Poetry Award,Costa,2011,Poetry,85,winner,Duffy,Carol Ann,"Duffy, Carol Ann",woman,queer,True,White British,Scottish,Bachelors,University of Liverpool,Philosophy and Theology,Philosophy,114321106,79,The Bees
8,Booker Prize,Man Booker Prize,Booker Foundation,2011,Fiction,194,shortlisted,Edugyan,Esi,"Edugyan, Esi",woman,unknown,False,African,Ghanaian Canadian,Masters,Johns Hopkins,Writing,Creative Writing,11696535,81,Half Blood Blues
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2011,Fiction,339,shortlisted,Forna,Aminatta,"Forna, Aminatta",woman,unknown,True,Black British,Scottish Sierra Leonan,Doctorate,Bath Spa University,Writing,Creative Writing,230968647,422,The Memory of Love
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2011,Crime,452,winner,Franklin,Tom,"Franklin, Tom",man,unknown,False,Non-UK White,White American,Masters,University of Arkansas,Writing,Creative Writing,37090762,577,"Crooked Letter, Crooked Letter"
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2011,Non-Fiction,651,shortlisted,Graham-Dixon,Andrew,"Graham-Dixon, Andrew",man,unknown,True,White British,British,Doctorate,Courtauld Institute of Art,Arts,unknown,49336224,816,Caravaggio
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2011,Poetry,555,winner,Greenlaw,Lavinia,"Greenlaw, Lavinia",woman,unknown,True,White British,English,Masters,Courtauld Institute of Art,Arts,Seventeenth-Century Art,37140301,711,Audio Obscura
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2011,Crime,453,shortlisted,Hamilton,Steve,"Hamilton, Steve",man,unknown,False,Non-UK White,White American,unknown,unknown,unknown,unknown,27352806,578,The Lock Artists
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2011,Fiction,340,shortlisted,Henderson,Emma,"Henderson, Emma",woman,unknown,True,White British,British,Masters,University of London,Writing,Creative Writing,278325049,423,Grace Williams Says it Loud
5,Costa Biography Award,Costa Biography Award,Costa,2011,Biography,84,winner,Hollis,Matthew,"Hollis, Matthew",man,unknown,True,White British,English,unknown,unknown,unknown,unknown,37216902,143,Now All Roads Lead to France: The Last Years of Edward Thomas
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2011,Non-Fiction,652,shortlisted,Jasanoff,Maya,"Jasanoff, Maya",woman,unknown,False,Non-UK White,White American,Doctorate,Yale University,History and Cultural Studies,Imperial History,37202093,817,Liberty's Exiles
8,Booker Prize,Man Booker Prize,Booker Foundation,2011,Fiction,229,shortlisted,Kelman,Stephen,"Kelman, Stephen",man,unknown,True,White British,English,Bachelors,University of Luton,Politics and Economics,Marketing,123116857,167,Pigeon English
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2011,Fiction,341,shortlisted,Krauss,Nicole,"Krauss, Nicole",woman,unknown,False,Jewish,Jewish American,Masters,Stanford University,unknown,unknown,99094300,424,Great House
8,Booker Prize,Man Booker Prize,Booker Foundation,2011,Fiction,230,shortlisted,Miller,AD,"Miller, AD",man,unknown,True,White British,English,unknown,Lancaster University,Writing,Creative Writing,44064232,221,Snowdrops
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2011,Crime,230,shortlisted,Miller,AD,"Miller, AD",man,unknown,True,White British,English,unknown,Lancaster University,Writing,Creative Writing,44064232,221,Snowdrops
2,Costa Book of the Year,Costa Book of the Year,Costa,2011,No/Any/Multi Genre,25,winner,Miller,Andrew,"Miller, Andrew",man,unknown,True,White British,English,Doctorate,Brown University,Language and Literature,Classics,84128518,220,Pure
4,Costa Novel Award,Costa Novel Award,Costa,2011,Fiction,25,winner,Miller,Andrew,"Miller, Andrew",man,unknown,True,White British,English,Doctorate,Brown University,Language and Literature,Classics,84128518,220,Pure
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2011,Crime,436,shortlisted,Mina,Denise,"Mina, Denise",woman,unknown,True,White British,Scottish,Doctorate,University of Strathclyde,unknown,unknown,59311376,579,The End of the Wasp Season
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2011,Poetry,160,shortlisted,Motion,Andrew,"Motion, Andrew",man,unknown,True,White British,English,Masters,University of Oxford,Language and Literature,Literature,108893413,712,Laurels and Donkeys
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2011,Fiction,338,winner,Obreht,Téa,"Obreht, Téa",woman,unknown,True,Non-UK White,Serbian American,Masters,University of Strathclyde,Language and Literature,English Literature,107937112,421,The Tiger's Wife
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,2011,Sff,28,winner,Priest,Christopher,"Priest, Christopher",man,unknown,True,White British,English,none,none,none,none,54152946,639,The Islanders
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2011,Poetry,92,shortlisted,Reid,Christopher,"Reid, Christopher",man,unknown,True,White British,British,Bachelors,University of Oxford,unknown,unknown,33082514,713,Airs and Ditties of No Man's Land
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2011,Non-Fiction,653,shortlisted,Ridley,Matt,"Ridley, Matt",man,unknown,True,White British,English,Doctorate,University of Oxford,Maths and Sciences,Science,19819147,818,The Rational Optimist
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,2011,Fiction,12,winner,Soli,Tatjana,"Soli, Tatjana",woman,unknown,False,Non-UK White,White American,Doctorate,University of Lancaster,unknown,unknown,102919570,307,The Lotus Eaters
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2011,Non-Fiction,654,shortlisted,Steinberg,Jonathan,"Steinberg, Jonathan",man,unknown,True,Jewish,Jewish American,Doctorate,University of Cambridge,History and Cultural Studies,German History,39453716,819,Bismarck
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2011,Non-Fiction,655,shortlisted,Stubbs,John,"Stubbs, John",man,unknown,True,White British,English,Doctorate,University of Cambridge,Language and Literature,English Literature,315988453,820,Reprobates
3,Costa First Novel Award,Costa First Novel Award,Costa,2011,Fiction,83,winner,Watson,Christie,"Watson, Christie",woman,unknown,True,White British,British,Masters,University of East Anglia,Writing,Creative Writing,160816645,353,Tiny Sunbirds Far Away
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2011,Fiction,342,shortlisted,Winter,Kathleen,"Winter, Kathleen",woman,unknown,False,Non-UK White,English Canadian,unknown,unknown,unknown,unknown,70552881,425,Annabel
7,Costa Children's Book Award,Costa Children's Book Award,Costa,2011,Children'S,86,winner,Young,Moira,"Young, Moira",woman,unknown,True,Non-UK White,Canadian,unknown,unknown,unknown,unknown,162192629,360,Blood Red Road
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2012,Non-Fiction,645,shortlisted,Boo,Katherine,"Boo, Katherine",woman,unknown,False,Non-UK White,White American,Bachelors,Barnard College,unknown,unknown,267649809,809,Behind the Beautiful Forevers
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2012,Poetry,556,shortlisted,Bryce,Colette,"Bryce, Colette",woman,unknown,True,White British,Northern Irish,unknown,unknown,unknown,unknown,69841407,714,Ballasting the Ark
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2012,Crime,450,shortlisted,Cooper,NJ,"Cooper, NJ",woman,unknown,True,White British,English,unknown,unknown,unknown,unknown,166817122,575,Vengeance in Mind
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2012,Non-Fiction,646,shortlisted,Dalrymple,William,"Dalrymple, William",man,unknown,True,White British,Scottish,unknown,unknown,unknown,unknown,66535509,810,Return of a King
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2012,Non-Fiction,644,winner,Davis,Wade,"Davis, Wade",man,unknown,False,Non-UK White,White Canadian,Doctorate,Harvard University,Maths and Sciences,Ethnobotany,34478021,808,Into the Silence
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2012,Fiction,194,shortlisted,Edugyan,Esi,"Edugyan, Esi",woman,unknown,False,African,Ghanaian Canadian,Masters,Johns Hopkins,Writing,Creative Writing,11696535,81,Half Blood Blues
8,Booker Prize,Man Booker Prize,Booker Foundation,2012,Fiction,224,shortlisted,Eng,Tan Twan,"Eng, Tan Twan",man,unknown,False,Asian,Malaysian,Masters,University of Cape Town,Law,Law,85928889,85,The Garden of Evening Mists
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2012,Fiction,241,shortlisted,Enright,Anne,"Enright, Anne",woman,unknown,False,Irish,Irish,Masters,University of East Anglia,Writing,Creative Writing,84193881,417,The Forgotten Waltz
